setSimple add
0 0
1 0
2 0
3 24
4 30
5 29
6 60
7 76
8 94
9 113
setSimple remove
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 9
8 0
9 0
setSimple contains
0 0
1 10
2 55
3 45
4 90
5 100
6 65
7 111
8 90
9 110
setSimple sum
0 0
1 19017
2 36304
3 53687
4 72780
5 87223
6 106475
7 126481
8 142199
9 161869
setSimple intersection
0 0
1 14579
2 28608
3 42641
4 59437
5 71756
6 86457
7 102781
8 118753
9 130940
setSimple difference
0 0
1 7550
2 14867
3 23513
4 30711
5 40903
6 46469
7 53917
8 63701
9 73830
setSimple identical
0 0
1 70
2 161
3 262
4 298
5 337
6 435
7 547
8 588
9 729
setLinked add
0 0
1 0
2 23
3 49
4 63
5 90
6 120
7 129
8 160
9 200
setLinked remove
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
setLinked contains
0 0
1 10
2 10
3 26
4 39
5 70
6 89
7 130
8 169
9 227
setLinked sum
0 0
1 79897
2 172739
3 265923
4 361772
5 453762
6 542816
7 642057
8 725053
9 817634
setLinked intersection
0 0
1 71210
2 157441
3 214686
4 285430
5 356722
6 428781
7 498482
8 568507
9 652441
setLinked difference
0 0
1 46848
2 93198
3 141049
4 188292
5 234058
6 273644
7 324926
8 371413
9 421823
setLinked identical
0 0
1 30603
2 64690
3 93998
4 125671
5 159904
6 187256
7 219930
8 251523
9 279823
