setSimple(createConsecutiveSet) add
0 0
1 0
2 0
3 0
4 1
5 1
6 1
7 1
8 2
9 2
setSimple(createConsecutiveSet) remove
0 0
1 0
2 0
3 1
4 1
5 1
6 2
7 2
8 3
9 3
setSimple(createConsecutiveSet) contains
0 0
1 0
2 0
3 0
4 0
5 1
6 1
7 1
8 1
9 1
setSimple(createConsecutiveSet) sum
0 8
1 8
2 9
3 11
4 21
5 13
6 12
7 13
8 14
9 15
setSimple(createConsecutiveSet) intersection
0 18
1 21
2 21
3 21
4 21
5 21
6 21
7 21
8 21
9 21
setSimple(createConsecutiveSet) difference
0 16
1 16
2 16
3 11
4 10
5 10
6 10
7 11
8 12
9 10
setSimple(createConsecutiveSet) identical
0 6
1 6
2 8
3 10
4 6
5 6
6 7
7 6
8 5
9 4
setSimple(createEvenStepSet) add
0 0
1 0
2 0
3 0
4 1
5 1
6 1
7 1
8 2
9 2
setSimple(createEvenStepSet) remove
0 0
1 0
2 0
3 1
4 1
5 2
6 2
7 2
8 3
9 3
setSimple(createEvenStepSet) contains
0 0
1 0
2 0
3 0
4 1
5 1
6 1
7 1
8 2
9 2
setSimple(createEvenStepSet) sum
0 10
1 10
2 11
3 12
4 20
5 17
6 14
7 17
8 18
9 22
setSimple(createEvenStepSet) intersection
0 15
1 15
2 23
3 14
4 13
5 14
6 24
7 16
8 12
9 12
setSimple(createEvenStepSet) difference
0 9
1 8
2 16
3 7
4 10
5 15
6 13
7 8
8 17
9 8
setSimple(createEvenStepSet) identical
0 3
1 4
2 4
3 3
4 3
5 3
6 3
7 3
8 3
9 4
setSimple(createAlphabetSet) add
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 1
9 1
setSimple(createAlphabetSet) remove
0 0
1 0
2 0
3 1
4 1
5 1
6 2
7 2
8 5
9 5
setSimple(createAlphabetSet) contains
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 1
8 1
9 1
setSimple(createAlphabetSet) sum
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
setSimple(createAlphabetSet) intersection
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
setSimple(createAlphabetSet) difference
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
setSimple(createAlphabetSet) identical
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
setSimple(createTwoLetterSet) add
0 0
1 0
2 0
3 0
4 1
5 1
6 2
7 1
8 1
9 1
setSimple(createTwoLetterSet) remove
0 0
1 0
2 0
3 0
4 0
5 1
6 1
7 1
8 1
9 1
setSimple(createTwoLetterSet) contains
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 1
setSimple(createTwoLetterSet) sum
0 10
1 9
2 7
3 8
4 9
5 7
6 7
7 8
8 7
9 8
setSimple(createTwoLetterSet) intersection
0 9
1 9
2 9
3 11
4 11
5 15
6 17
7 23
8 14
9 15
setSimple(createTwoLetterSet) difference
0 11
1 14
2 14
3 14
4 22
5 23
6 13
7 15
8 18
9 18
setSimple(createTwoLetterSet) identical
0 15
1 14
2 8
3 10
4 8
5 8
6 11
7 6
8 7
9 8
SetHashed add
0 0
1 1
2 2
3 4
4 5
5 7
6 8
7 9
8 10
9 11
SetHashed remove
0 0
1 0
2 1
3 1
4 2
5 3
6 3
7 4
8 4
9 5
SetHashed contains
0 0
1 1
2 1
3 2
4 7
5 4
6 5
7 7
8 8
9 10
SetHashed sum
0 0
1 2630
2 4823
3 7141
4 9446
5 11375
6 13140
7 15248
8 17299
9 19356
SetHashed intersection
0 0
1 2969
2 6281
3 8963
4 11886
5 14868
6 17866
7 20846
8 23891
9 26755
SetHashed difference
0 0
1 1007
2 2014
3 3012
4 4026
5 5029
6 6043
7 7020
8 8040
9 9443
SetHashed identical
0 0
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
